"Celkový dojem z plavby","","","","","","","",""
"Shrnutí","","","","","","","",""
"Slovní hodnocení","Napište nám upřímnou recenzi a pomozte dalším kapitánům při výběru té správné lodi!","","","","","","",""
"Charterová společnost a marina","","","","","","","",""
"Pojďme zhodnotit samotnou loď?","","","","","","","",""
"Poděkování a výsledek","","","","","","","",""
"Poměr cena / výkon","Odpovídal váš zážitek a stav lodi zaplacené částce?","","","","","","","Hvězdy"
"Jak jste byli celkově spokojeni s vaší plavbou?","Udělte hodnocení pomocí hvězdiček: 1 hvězdička znamená velmi špatné, 5 hvězdiček naopak skvělé.","","","","","","","Hvězdy"
"Stav lodě a zařízení","Byla loď a všechno zařízení v dobrém stavu a plně funkční? (plachty, motor, přístroje)","","","","","","","Hvězdy"
"Převzetí a vrácení lodě","Proběhlo předání a vrácení lodi hladce a bez zbytečných průtahů? Bylo vám vše řádně vysvětleno při převzetí?","","","","","","","Hvězdy"
"'+ Co se vám líbilo?'","","","","","","","","Textarea"
"Čistota","Byla loď při převzetí perfektně čistá a uklizená?","","","","","","","Hvězdy"
"Komunikace charterové společnosti","Jak hodnotíte profesionalitu a vstřícnost charterové společnosti? Pokud nastaly problémy, pomohla promptně a ochotněs jejich řešením?","","","","","","","Hvězdy"
"Doporučili byste tuto loď přátelům?","","","","","","","","Ano / Ne"
"'- Co by se naopak dalo zlepšit?'","","","","","","","","Textarea"
"Jak hodnotíte služby mariny?","Například dostupnost sprch, čistota, parkování nebo check-in v marině.","","","","","","","Hvězdy"
