"Přístav"
"Detail destinace - přístav"
"Rychlý formulář","Destinace z těch, které charterovka obsluhuje + Datepicker + Typ lodi + Submit"
"Číselná infografika","spokojenost: 4,84 z 5 počet recenzí: 4.446 96,8% zákazníků doporučuje přátelům objednat loď u YachtNetu"
"Zkrácený výpis lodí","Bez filtruVýpis cca 5-7 lodí"
"CTA - všechny lodě"
"Fotogalerie obrázků z přístavu a okolí"
"Kategorie lodí, které je možné si vypůjčit v tomto přístavu","Bude fungovat jako rychlý filtr do seznamu lodí.   Obrázkový rozcestník: JachtaKatamaránMotorový člunMotorová jachta"
"Mapa + adresa","Živá mapa (Google, Seznam, Maptiler, OpenStreet)"
"Aktuální počasí na Windy"
"Odkaz Více o počasí v Chorvatsku"
"Pidmínky pronájmů v daném přístavu","Pokud znáte, tak: Možnosti parkováníPlatba za parkováníMístní poplatkyMístní specifika"
"FAQ k danému přístavu","FAQ jako uživatelská podpora- opravdové dotazypodpora pro SEO a GEO/AEO"
"SEO text","Maximálně vytěžit prostor na konci stránky pro hutný popis vhodný pro SEO"
